date,min,max
2016-02-24,-11.644,11.086
2016-02-25,-10.837,11.463
2016-02-26,-10.194,10.502
2016-02-27,-8.517,10.052
2016-02-28,-7.028,9.669
2016-02-29,-7.175,7.881
2016-03-01,-6.795,6.06
2016-03-02,-6.608,5.335
2016-03-03,-7.083,5.24
2016-03-04,-8.366,6.083
2016-03-05,-9.859,7.936
2016-03-06,-11.398,9.629
2016-03-07,-12.772,10.846
2016-03-08,-13.619,12.136
2016-03-09,-13.658,12.966
2016-03-10,-13.097,13.625
2016-03-11,-13.189,13.753
2016-03-12,-13.117,13.386
2016-03-13,-12.146,12.431
2016-03-14,-10.974,10.856
2016-03-15,-9.656,8.78
2016-03-16,-9.186,6.686
2016-03-17,-9.295,5.577
2016-03-18,-9.357,6.421
2016-03-19,-9.951,8.153
2016-03-20,-10.673,8.937
2016-03-21,-10.902,9.567
2016-03-22,-11.047,10.21
2016-03-23,-10.876,10.577
2016-03-24,-11.175,10.715
2016-03-25,-11.26,10.361
2016-03-26,-11.165,10.079
2016-03-27,-10.482,9.738
2016-03-28,-10.069,8.77
2016-03-29,-9.377,7.523
2016-03-30,-8.307,6.063
2016-03-31,-7.51,5.098
2016-04-01,-7.316,5.016
2016-04-02,-8.73,5.495
2016-04-03,-10.194,6.312
2016-04-04,-11.306,8.091
2016-04-05,-12.451,10.056
2016-04-06,-13.307,11.398
2016-04-07,-14.469,12.395
2016-04-08,-14.875,13.704
2016-04-09,-15.023,13.196
2016-04-10,-14.491,13.094
2016-04-11,-13.734,11.68
2016-04-12,-12.073,9.925
2016-04-13,-10.364,7.703
2016-04-14,-8.678,6.542
2016-04-15,-7.913,6.519
2016-04-16,-8.527,6.604
2016-04-17,-8.793,7.08
2016-04-18,-9.367,7.91
2016-04-19,-10.141,8.468
2016-04-20,-11.05,9.012
2016-04-21,-11.88,9.452
2016-04-22,-11.972,9.862
2016-04-23,-12.221,10.039
2016-04-24,-12.533,9.603
2016-04-25,-11.447,9.682
2016-04-26,-10.942,8.973
2016-04-27,-10.453,7.697
2016-04-28,-9.154,6.67
2016-04-29,-8.478,6.089
2016-04-30,-7.018,6.719
2016-05-01,-8.035,6.703
2016-05-02,-8.947,7.474
2016-05-03,-10.197,8.675
2016-05-04,-11.834,10.089
2016-05-05,-13.816,11.512
2016-05-06,-14.846,12.644
2016-05-07,-15.843,13.15
2016-05-08,-16.325,12.838
2016-05-09,-15.919,11.818
2016-05-10,-15.062,10.322
2016-05-11,-13.593,8.412
2016-05-12,-11.765,6.526
2016-05-13,-9.718,6.375
2016-05-14,-7.995,6.253
2016-05-15,-7.07,6.332
2016-05-16,-7.26,6.785
2016-05-17,-8.52,7.402
2016-05-18,-9.879,7.864
2016-05-19,-11.499,8.005
2016-05-20,-11.988,8.593
2016-05-21,-12.392,9.331
2016-05-22,-13.117,9.245
2016-05-23,-13.77,9.337
2016-05-24,-13.409,8.855
2016-05-25,-12.92,8.402
2016-05-26,-12.336,7.421
2016-05-27,-11.266,7.185
2016-05-28,-10.171,7.087
2016-05-29,-9.029,7.313
2016-05-30,-8.645,7.72
2016-05-31,-8.596,7.904
2016-06-01,-10.236,9.124
2016-06-02,-11.969,10.509
2016-06-03,-13.707,11.631
2016-06-04,-15.213,12.26
2016-06-05,-15.82,12.602
2016-06-06,-15.371,13.114
2016-06-07,-15.41,11.89
2016-06-08,-14.58,10.728
2016-06-09,-12.831,9.314
2016-06-10,-11.23,8.091
2016-06-11,-9.157,7.418
2016-06-12,-7.106,6.811
2016-06-13,-6.45,6.43
2016-06-14,-7.657,6.243
2016-06-15,-8.586,6.45
2016-06-16,-9.692,6.883
2016-06-17,-10.797,7.73
2016-06-18,-11.913,8.127
2016-06-19,-12.644,8.924
2016-06-20,-13.369,9.357
2016-06-21,-13.862,9.619
2016-06-22,-13.786,9.646
2016-06-23,-13.32,9.587
2016-06-24,-12.799,9.088
2016-06-25,-11.893,8.747
2016-06-26,-10.909,8.468
2016-06-27,-9.275,8.34
2016-06-28,-8.533,8.481
2016-06-29,-9.6,8.599
2016-06-30,-11.004,8.93
2016-07-01,-12.064,10.023
2016-07-02,-13.606,10.866
2016-07-03,-14.606,11.545
2016-07-04,-15.249,12.037
2016-07-05,-15.39,11.913
2016-07-06,-15.026,11.654
2016-07-07,-14.216,10.719
2016-07-08,-12.897,9.57
2016-07-09,-11.043,8.868
2016-07-10,-9.101,7.618
2016-07-11,-7.123,6.804
2016-07-12,-6.637,6.296
2016-07-13,-6.959,5.906
2016-07-14,-8.1,5.846
2016-07-15,-9.331,5.778
2016-07-16,-10.709,6.339
2016-07-17,-11.827,7.218
2016-07-18,-13.064,8.258
2016-07-19,-13.914,9.163
2016-07-20,-14.249,10.069
2016-07-21,-14.245,10.846
2016-07-22,-13.875,10.958
2016-07-23,-13.143,10.692
2016-07-24,-12.152,10.486
2016-07-25,-10.814,9.705
2016-07-26,-9.672,9.137
2016-07-27,-9.452,8.921
2016-07-28,-9.528,8.602
2016-07-29,-10.607,8.619
2016-07-30,-11.972,8.957
2016-07-31,-13.228,9.767
2016-08-01,-14.314,10.223
2016-08-02,-14.859,10.902
2016-08-03,-14.859,11.211
2016-08-04,-14.498,10.948
2016-08-05,-13.691,10.344
2016-08-06,-12.32,9.57
2016-08-07,-10.577,9.199
2016-08-08,-8.717,8.153
2016-08-09,-7.907,6.913
2016-08-10,-7.343,5.781
2016-08-11,-6.811,5.069
2016-08-12,-6.841,5.21
2016-08-13,-7.3,5.377
2016-08-14,-8.638,6.152
2016-08-15,-10.538,7.444
2016-08-16,-12.467,8.586
2016-08-17,-13.921,9.491
2016-08-18,-14.35,10.699
2016-08-19,-14.708,11.43
2016-08-20,-14.446,11.893
2016-08-21,-13.383,12.024
2016-08-22,-12.028,11.499
2016-08-23,-11.611,10.213
2016-08-24,-11.168,8.799
2016-08-25,-10.531,7.579
2016-08-26,-10.161,6.919
2016-08-27,-10.381,6.89
2016-08-28,-11.234,7.352
2016-08-29,-12.402,8.35
2016-08-30,-13.238,9.406
2016-08-31,-13.491,10.308
2016-09-01,-13.343,10.886
2016-09-02,-13.025,10.758
2016-09-03,-12.346,10.41
2016-09-04,-11.122,10.2
2016-09-05,-10.377,9.692
2016-09-06,-9.393,8.589
2016-09-07,-8.776,7.221
2016-09-08,-7.808,5.669
2016-09-09,-6.932,4.531
2016-09-10,-6.824,4.026
2016-09-11,-7.218,4.688
2016-09-12,-7.844,6.555
2016-09-13,-10.135,7.441
2016-09-14,-11.818,9.088
2016-09-15,-12.74,10.866
2016-09-16,-13.425,12.178
2016-09-17,-13.648,12.992
2016-09-18,-14.311,12.818
2016-09-19,-14.698,12.69
2016-09-20,-14.226,12.241
2016-09-21,-12.369,11.335
2016-09-22,-10.827,9.803
2016-09-23,-9.603,7.552
2016-09-24,-9.009,6.565
2016-09-25,-8.868,6.601
2016-09-26,-9.672,7.605
2016-09-27,-10.837,8.471
2016-09-28,-11.483,8.999
2016-09-29,-12.448,9.446
2016-09-30,-12.339,10.003
2016-10-01,-12.09,10.83
2016-10-02,-11.89,10.669
2016-10-03,-11.88,9.879
2016-10-04,-11.844,9.199
2016-10-05,-11.266,8.081
2016-10-06,-10.472,6.965
2016-10-07,-9.38,5.623
2016-10-08,-8.068,4.78
2016-10-09,-7.218,4.528
2016-10-10,-7.234,5.21
2016-10-11,-7.323,6.417
2016-10-12,-8.491,8.015
2016-10-13,-10.105,10.154
2016-10-14,-11.706,12.001
2016-10-15,-13.205,13.284
2016-10-16,-14.662,13.802
2016-10-17,-14.649,14.419
2016-10-18,-14.688,13.34
2016-10-19,-14.616,12.621
2016-10-20,-13.461,11.043
2016-10-21,-12.461,8.593
2016-10-22,-10.951,7.054
2016-10-23,-9.311,6.837
2016-10-24,-8.494,7.083
2016-10-25,-8.255,7.812
2016-10-26,-8.73,8.622
2016-10-27,-9.898,9.564
2016-10-28,-11.227,9.783
2016-10-29,-11.765,10.387
2016-10-30,-11.578,10.961
2016-10-31,-11.522,11.027
2016-11-01,-11.339,11.014
2016-11-02,-11.371,10.026
2016-11-03,-11.04,9.436
2016-11-04,-10.469,8.379
2016-11-05,-9.36,7.963
2016-11-06,-8.412,6.873
2016-11-07,-7.234,7.133
2016-11-08,-5.948,7.815
2016-11-09,-6.076,8.031
2016-11-10,-6.719,9.839
2016-11-11,-9.718,11.329
2016-11-12,-12.103,12.562
2016-11-13,-13.018,14.127
2016-11-14,-15.039,14.505
2016-11-15,-15.991,14.081
2016-11-16,-15.879,13.12
2016-11-17,-16.007,11.975
2016-11-18,-14.915,10.318
2016-11-19,-13.123,9.472
2016-11-20,-11.02,8.589
2016-11-21,-8.911,8.091
2016-11-22,-6.919,8.192
2016-11-23,-6.522,8.202
2016-11-24,-8.166,8.327
2016-11-25,-9.488,9.226
2016-11-26,-10.548,9.337
2016-11-27,-11.755,9.993
2016-11-28,-12.507,10.056
2016-11-29,-12.28,10.505
2016-11-30,-12.087,9.642
2016-12-01,-11.87,10.384
2016-12-02,-11.857,9.56
2016-12-03,-12.379,8.494
2016-12-04,-11.939,7.71
2016-12-05,-11.319,7.103
2016-12-06,-10.161,6.89
2016-12-07,-8.694,7.08
2016-12-08,-8.13,7.484
2016-12-09,-9.8,8.287
2016-12-10,-12.32,9.442
2016-12-11,-14.442,10.528
2016-12-12,-16.148,11.486
2016-12-13,-17.313,12.159
2016-12-14,-17.438,12.51
2016-12-15,-16.932,12.379
2016-12-16,-17.021,11.814
2016-12-17,-15.374,10.919
2016-12-18,-13.75,10.203
2016-12-19,-10.761,9.911
2016-12-20,-9.318,9.206
2016-12-21,-7.136,8.051
2016-12-22,-7.343,7.224
2016-12-23,-9.003,6.726
2016-12-24,-9.59,7.215
2016-12-25,-9.728,8.576
2016-12-26,-10.735,9.656
2016-12-27,-12.064,9.82
2016-12-28,-13.77,9.137
2016-12-29,-13.694,9.731
2016-12-30,-14.692,9.157
2016-12-31,-14.728,8.766
2017-01-01,-15.085,8.081
2017-01-02,-14.4,7.953
2017-01-03,-13.435,7.723
2017-01-04,-12.178,7.612
2017-01-05,-10.823,7.185
2017-01-06,-9.915,7.188
2017-01-07,-10.866,7.959
2017-01-08,-12.526,8.671
2017-01-09,-14.058,9.754
2017-01-10,-15.482,10.843
2017-01-11,-16.24,11.703
2017-01-12,-16.355,12.684
2017-01-13,-15.226,13.337
2017-01-14,-14.934,12.726
2017-01-15,-15.0,11.526
2017-01-16,-13.199,11.555
2017-01-17,-12.244,10.125
2017-01-18,-10.003,9.229
2017-01-19,-7.703,8.406
2017-01-20,-7.211,6.709
2017-01-21,-7.5,6.624
2017-01-22,-8.606,6.358
2017-01-23,-9.537,6.969
2017-01-24,-10.377,8.205
2017-01-25,-11.188,9.432
2017-01-26,-12.297,10.715
2017-01-27,-13.018,11.211
2017-01-28,-14.321,10.856
2017-01-29,-14.413,10.656
2017-01-30,-14.859,10.23
2017-01-31,-14.167,10.259
2017-02-01,-13.891,9.528
2017-02-02,-12.651,8.881
2017-02-03,-10.741,8.379
2017-02-04,-10.256,7.966
2017-02-05,-10.413,7.694
2017-02-06,-11.529,8.015
2017-02-07,-13.245,8.51
2017-02-08,-14.163,9.97
2017-02-09,-14.587,11.539
2017-02-10,-15.056,12.415
2017-02-11,-14.708,12.556
2017-02-12,-14.583,12.011
2017-02-13,-14.81,12.031
2017-02-14,-12.582,12.077
2017-02-15,-10.591,11.634
2017-02-16,-8.993,9.859
2017-02-17,-7.831,8.507
2017-02-18,-7.129,6.844
2017-02-19,-7.162,5.699
2017-02-20,-8.022,4.534
2017-02-21,-9.406,4.757
2017-02-22,-11.05,5.85
2017-02-23,-12.562,6.555
2017-02-24,-14.042,8.258
2017-02-25,-14.967,8.993
2017-02-26,-15.207,10.075
2017-02-27,-15.233,10.551
2017-02-28,-15.328,10.863
2017-03-01,-14.938,10.719
2017-03-02,-13.301,11.056
2017-03-03,-12.933,10.131
2017-03-04,-12.041,9.239
2017-03-05,-11.063,8.196
2017-03-06,-10.791,7.172
2017-03-07,-11.493,6.64
2017-03-08,-13.005,7.024
2017-03-09,-13.986,8.11
2017-03-10,-14.38,9.449
2017-03-11,-14.295,10.371
2017-03-12,-13.816,11.047
2017-03-13,-13.524,11.158
2017-03-14,-13.537,10.568
2017-03-15,-12.569,10.666
2017-03-16,-11.677,9.954
2017-03-17,-11.043,8.773
2017-03-18,-9.403,7.904
2017-03-19,-8.465,6.394
2017-03-20,-7.667,4.833
2017-03-21,-7.431,4.117
2017-03-22,-8.028,4.833
2017-03-23,-9.623,5.577
2017-03-24,-10.955,6.621
2017-03-25,-12.224,8.323
2017-03-26,-13.012,9.675
2017-03-27,-13.225,11.207
2017-03-28,-13.494,12.011
2017-03-29,-14.475,12.575
2017-03-30,-15.03,12.762
2017-03-31,-13.924,12.431
2017-04-01,-13.215,11.555
2017-04-02,-12.474,9.747
2017-04-03,-10.633,7.871
2017-04-04,-9.259,7.444
2017-04-05,-8.963,7.589
2017-04-06,-9.682,8.478
2017-04-07,-10.604,8.802
2017-04-08,-11.381,9.711
2017-04-09,-11.988,10.072
2017-04-10,-12.536,10.361
2017-04-11,-13.494,10.131
2017-04-12,-13.806,9.787
2017-04-13,-13.287,9.656
2017-04-14,-12.671,9.288
2017-04-15,-11.88,8.323
2017-04-16,-10.817,7.244
2017-04-17,-9.629,5.771
2017-04-18,-8.176,4.948
2017-04-19,-7.385,4.964
2017-04-20,-7.667,4.97
2017-04-21,-8.537,5.299
2017-04-22,-9.36,6.624
2017-04-23,-10.545,8.176
2017-04-24,-11.447,9.642
2017-04-25,-13.327,11.253
2017-04-26,-14.741,12.385
2017-04-27,-15.682,13.041
2017-04-28,-16.227,12.694
2017-04-29,-15.646,12.014
2017-04-30,-14.396,11.099
2017-05-01,-12.628,9.39
2017-05-02,-10.728,7.976
2017-05-03,-8.432,7.73
2017-05-04,-8.622,7.684
2017-05-05,-8.661,7.769
2017-05-06,-8.825,7.972
2017-05-07,-9.852,8.806
2017-05-08,-11.414,9.193
2017-05-09,-12.49,9.406
2017-05-10,-13.143,9.465
2017-05-11,-13.327,9.436
2017-05-12,-13.156,9.38
2017-05-13,-12.92,8.868
2017-05-14,-12.047,8.136
2017-05-15,-11.512,7.385
2017-05-16,-10.262,6.444
2017-05-17,-9.291,5.689
2017-05-18,-8.435,5.692
2017-05-19,-7.907,6.112
2017-05-20,-7.795,6.414
2017-05-21,-7.812,7.303
2017-05-22,-9.613,8.72
